expense_id,date,vendor,category,subcategory,amount_usd,currency,payment_method,recurring,billable_to_client,client,receipt_url,notes
EXP-0001,2025-11-08,Plus Partner Coaching,Education,Training,417.37,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-6610/view,
EXP-0002,2025-11-11,WestJet,Travel,Client visit — Calgary,510.68,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-6784/view,
EXP-0003,2025-11-13,Wise,Banking,Transfer fees,11.6,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-6345/view,
EXP-0004,2025-11-13,Plus Partner Coaching,Education,Training,364.36,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-4982/view,
EXP-0005,2025-11-20,MacBook accessories,Office,Equipment,257.2,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-4370/view,
EXP-0006,2025-11-27,Books — strategy / craft,Education,Books,75.48,USD,Bank Transfer,No,No,,https://drive.google.com/file/d/sample-4242/view,
EXP-0007,2025-11-28,Stripe,Banking,Processing fees,43.65,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-7820/view,
EXP-0008,2025-11-29,Domain renewals,Hosting,Domains,92.58,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-2872/view,
EXP-0009,2025-12-01,Anthropic — Claude API,Software/SaaS,AI,182.97,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1966/view,
EXP-0010,2025-12-01,Cloudflare,Hosting,Workers + DNS,24.67,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3401/view,
EXP-0011,2025-12-01,Hostinger,Hosting,Domain + legacy,10.23,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3516/view,
EXP-0012,2025-12-01,Tableau Cloud,Software/SaaS,Analytics,87.57,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8233/view,
EXP-0013,2025-12-01,Figma,Software/SaaS,Design,32.24,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-7531/view,
EXP-0014,2025-12-01,Notion,Software/SaaS,Docs,21.07,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-5365/view,
EXP-0015,2025-12-01,LinkedIn Sales Navigator,Marketing,Outbound,104.47,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-8868/view,
EXP-0016,2025-12-01,Google Workspace,Software/SaaS,Email + Drive,25.19,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-7230/view,
EXP-0017,2025-12-01,Adobe Creative Cloud,Software/SaaS,Design,60.07,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1733/view,
EXP-0018,2025-12-01,LinkedIn Premium,Marketing,Personal brand,41.83,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1466/view,
EXP-0019,2025-12-01,Ahrefs,Software/SaaS,SEO,204.2,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-4959/view,
EXP-0020,2025-12-01,GitHub,Software/SaaS,Code hosting,4.18,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1478/view,
EXP-0021,2025-12-01,Vercel,Hosting,Preview deploys,19.0,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-6193/view,
EXP-0022,2025-12-01,Loom,Software/SaaS,Video,17.31,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-4195/view,
EXP-0023,2025-12-01,Calendly,Software/SaaS,Scheduling,12.43,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8242/view,
EXP-0024,2025-12-01,Apple iCloud+,Software/SaaS,Storage,10.25,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3544/view,
EXP-0025,2025-12-01,1Password,Software/SaaS,Security,15.83,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-2481/view,
EXP-0026,2025-12-06,Uber,Travel,Local,30.76,USD,PayPal,No,Yes,Roastline Coffee,https://drive.google.com/file/d/sample-6434/view,
EXP-0027,2025-12-12,Co-working day pass,Office,Workspace,39.46,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-8881/view,
EXP-0028,2025-12-20,Contractor — Fatima R. (design),Contractor,Design overflow,1830.88,USD,Bank Transfer,No,Yes,Solace Linens,https://drive.google.com/file/d/sample-5887/view,
EXP-0029,2025-12-23,Marriott Toronto,Travel,Client meeting,298.15,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-9135/view,
EXP-0030,2025-12-25,Stripe,Banking,Processing fees,40.01,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-4296/view,
EXP-0031,2026-01-01,Anthropic — Claude API,Software/SaaS,AI,194.03,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-4515/view,
EXP-0032,2026-01-01,Cloudflare,Hosting,Workers + DNS,25.13,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3079/view,
EXP-0033,2026-01-01,Hostinger,Hosting,Domain + legacy,9.66,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-3048/view,
EXP-0034,2026-01-01,Tableau Cloud,Software/SaaS,Analytics,88.07,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-6205/view,
EXP-0035,2026-01-01,Figma,Software/SaaS,Design,31.53,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-3659/view,
EXP-0036,2026-01-01,Notion,Software/SaaS,Docs,19.05,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-6209/view,
EXP-0037,2026-01-01,LinkedIn Sales Navigator,Marketing,Outbound,95.83,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-1101/view,
EXP-0038,2026-01-01,Google Workspace,Software/SaaS,Email + Drive,22.82,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1629/view,
EXP-0039,2026-01-01,Adobe Creative Cloud,Software/SaaS,Design,61.43,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-7269/view,
EXP-0040,2026-01-01,LinkedIn Premium,Marketing,Personal brand,38.04,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-9567/view,
EXP-0041,2026-01-01,Ahrefs,Software/SaaS,SEO,202.71,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8730/view,
EXP-0042,2026-01-01,GitHub,Software/SaaS,Code hosting,4.27,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-9653/view,
EXP-0043,2026-01-01,Vercel,Hosting,Preview deploys,19.83,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-3694/view,
EXP-0044,2026-01-01,Loom,Software/SaaS,Video,18.29,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-2794/view,
EXP-0045,2026-01-01,Calendly,Software/SaaS,Scheduling,12.31,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-2953/view,
EXP-0046,2026-01-01,Apple iCloud+,Software/SaaS,Storage,10.02,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-9791/view,
EXP-0047,2026-01-01,1Password,Software/SaaS,Security,16.48,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-4092/view,
EXP-0048,2026-01-05,WestJet,Travel,Client visit — Calgary,463.66,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-1015/view,
EXP-0049,2026-01-08,Uber,Travel,Local,40.47,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-3878/view,
EXP-0050,2026-01-13,Restaurant — client lunch,Meals,Client meal,84.16,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-1265/view,
EXP-0051,2026-01-13,MacBook accessories,Office,Equipment,239.63,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-9328/view,
EXP-0052,2026-01-16,MacBook accessories,Office,Equipment,273.52,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-5395/view,
EXP-0053,2026-02-01,Anthropic — Claude API,Software/SaaS,AI,179.45,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-6675/view,
EXP-0054,2026-02-01,Cloudflare,Hosting,Workers + DNS,25.31,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-5031/view,
EXP-0055,2026-02-01,Hostinger,Hosting,Domain + legacy,9.94,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-1355/view,
EXP-0056,2026-02-01,Tableau Cloud,Software/SaaS,Analytics,91.42,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-7372/view,
EXP-0057,2026-02-01,Figma,Software/SaaS,Design,29.04,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3718/view,
EXP-0058,2026-02-01,Notion,Software/SaaS,Docs,19.86,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-5514/view,
EXP-0059,2026-02-01,LinkedIn Sales Navigator,Marketing,Outbound,101.82,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-2644/view,
EXP-0060,2026-02-01,Google Workspace,Software/SaaS,Email + Drive,24.16,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-9065/view,
EXP-0061,2026-02-01,Adobe Creative Cloud,Software/SaaS,Design,58.38,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3727/view,
EXP-0062,2026-02-01,LinkedIn Premium,Marketing,Personal brand,39.84,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-2954/view,
EXP-0063,2026-02-01,Ahrefs,Software/SaaS,SEO,204.39,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-6404/view,
EXP-0064,2026-02-01,GitHub,Software/SaaS,Code hosting,4.27,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-6107/view,
EXP-0065,2026-02-01,Vercel,Hosting,Preview deploys,19.4,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-5685/view,
EXP-0066,2026-02-01,Loom,Software/SaaS,Video,18.68,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-1059/view,
EXP-0067,2026-02-01,Calendly,Software/SaaS,Scheduling,12.16,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-4863/view,
EXP-0068,2026-02-01,Apple iCloud+,Software/SaaS,Storage,10.64,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-5615/view,
EXP-0069,2026-02-01,1Password,Software/SaaS,Security,16.77,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8970/view,
EXP-0070,2026-02-02,Stock photography,Marketing,Imagery,55.66,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-8206/view,
EXP-0071,2026-02-03,Stripe,Banking,Processing fees,41.8,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-4085/view,
EXP-0072,2026-02-05,Starbucks — coffee meeting,Meals,Client coffee,16.33,USD,Bank Transfer,No,No,,https://drive.google.com/file/d/sample-7789/view,
EXP-0073,2026-02-09,Marriott Toronto,Travel,Client meeting,358.44,USD,Bank Transfer,No,No,,https://drive.google.com/file/d/sample-4543/view,
EXP-0074,2026-02-13,UnGagged Conference,Education,Conference,1073.32,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-3126/view,
EXP-0075,2026-02-28,Contractor — Daniel L. (Liquid),Contractor,Build overflow,2448.39,USD,Amex Business,No,Yes,Sundial Active,https://drive.google.com/file/d/sample-8263/view,
EXP-0076,2026-02-28,Domain renewals,Hosting,Domains,96.28,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-3085/view,
EXP-0077,2026-03-01,Anthropic — Claude API,Software/SaaS,AI,176.5,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-1827/view,
EXP-0078,2026-03-01,Cloudflare,Hosting,Workers + DNS,23.92,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-8847/view,
EXP-0079,2026-03-01,Hostinger,Hosting,Domain + legacy,10.74,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-5593/view,
EXP-0080,2026-03-01,Tableau Cloud,Software/SaaS,Analytics,95.82,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-9611/view,
EXP-0081,2026-03-01,Figma,Software/SaaS,Design,29.59,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-2997/view,
EXP-0082,2026-03-01,Notion,Software/SaaS,Docs,19.36,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-1995/view,
EXP-0083,2026-03-01,LinkedIn Sales Navigator,Marketing,Outbound,100.7,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-7554/view,
EXP-0084,2026-03-01,Google Workspace,Software/SaaS,Email + Drive,24.38,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-9728/view,
EXP-0085,2026-03-01,Adobe Creative Cloud,Software/SaaS,Design,59.92,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-7772/view,
EXP-0086,2026-03-01,LinkedIn Premium,Marketing,Personal brand,40.63,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-4836/view,
EXP-0087,2026-03-01,Ahrefs,Software/SaaS,SEO,202.55,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-4537/view,
EXP-0088,2026-03-01,GitHub,Software/SaaS,Code hosting,3.92,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-7776/view,
EXP-0089,2026-03-01,Vercel,Hosting,Preview deploys,19.85,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-2536/view,
EXP-0090,2026-03-01,Loom,Software/SaaS,Video,17.29,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-2716/view,
EXP-0091,2026-03-01,Calendly,Software/SaaS,Scheduling,12.35,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-5072/view,
EXP-0092,2026-03-01,Apple iCloud+,Software/SaaS,Storage,10.28,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-6914/view,
EXP-0093,2026-03-01,1Password,Software/SaaS,Security,16.95,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-5407/view,
EXP-0094,2026-03-03,Air Canada,Travel,Client visit — Vancouver,426.63,USD,Amex Business,No,Yes,Wildline Apparel,https://drive.google.com/file/d/sample-2236/view,
EXP-0095,2026-03-11,Co-working day pass,Office,Workspace,31.84,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-7780/view,
EXP-0096,2026-03-19,Restaurant — client lunch,Meals,Client meal,80.85,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-1369/view,
EXP-0097,2026-03-20,Books — strategy / craft,Education,Books,65.29,USD,Bank Transfer,No,No,,https://drive.google.com/file/d/sample-4703/view,
EXP-0098,2026-03-27,Starbucks — coffee meeting,Meals,Client coffee,19.17,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-8522/view,
EXP-0099,2026-03-29,Co-working day pass,Office,Workspace,33.92,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-6900/view,
EXP-0100,2026-04-01,Anthropic — Claude API,Software/SaaS,AI,175.39,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-1807/view,
EXP-0101,2026-04-01,Cloudflare,Hosting,Workers + DNS,25.49,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-6677/view,
EXP-0102,2026-04-01,Hostinger,Hosting,Domain + legacy,10.39,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-3161/view,
EXP-0103,2026-04-01,Tableau Cloud,Software/SaaS,Analytics,86.69,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-9638/view,
EXP-0104,2026-04-01,Figma,Software/SaaS,Design,30.28,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-5585/view,
EXP-0105,2026-04-01,Notion,Software/SaaS,Docs,19.37,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-9981/view,
EXP-0106,2026-04-01,LinkedIn Sales Navigator,Marketing,Outbound,104.06,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-1734/view,
EXP-0107,2026-04-01,Google Workspace,Software/SaaS,Email + Drive,23.24,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-2729/view,
EXP-0108,2026-04-01,Adobe Creative Cloud,Software/SaaS,Design,60.44,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-9136/view,
EXP-0109,2026-04-01,Wise,Banking,Transfer fees,13.11,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-7287/view,
EXP-0110,2026-04-01,LinkedIn Premium,Marketing,Personal brand,39.92,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-4916/view,
EXP-0111,2026-04-01,Ahrefs,Software/SaaS,SEO,204.96,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-2758/view,
EXP-0112,2026-04-01,GitHub,Software/SaaS,Code hosting,4.24,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-7444/view,
EXP-0113,2026-04-01,Vercel,Hosting,Preview deploys,20.71,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-5100/view,
EXP-0114,2026-04-01,Loom,Software/SaaS,Video,19.02,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-5383/view,
EXP-0115,2026-04-01,Calendly,Software/SaaS,Scheduling,12.07,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-8811/view,
EXP-0116,2026-04-01,UnGagged Conference,Education,Conference,1098.38,USD,Amex Business,No,No,,https://drive.google.com/file/d/sample-6825/view,
EXP-0117,2026-04-01,Apple iCloud+,Software/SaaS,Storage,10.24,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-2789/view,
EXP-0118,2026-04-01,1Password,Software/SaaS,Security,16.72,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-1649/view,
EXP-0119,2026-04-13,Marriott Toronto,Travel,Client meeting,294.8,USD,PayPal,No,Yes,Tidewater Goods,https://drive.google.com/file/d/sample-6750/view,
EXP-0120,2026-04-13,Restaurant — client lunch,Meals,Client meal,90.63,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-5233/view,
EXP-0121,2026-04-14,Stock photography,Marketing,Imagery,46.11,USD,Bank Transfer,No,No,,https://drive.google.com/file/d/sample-6127/view,
EXP-0122,2026-04-20,Air Canada,Travel,Client visit — Vancouver,526.28,USD,Amex Business,No,Yes,Boreal Provisions,https://drive.google.com/file/d/sample-3366/view,
EXP-0123,2026-04-21,Wise,Banking,Transfer fees,11.87,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-4695/view,
EXP-0124,2026-04-24,UnGagged Conference,Education,Conference,1291.27,USD,PayPal,No,No,,https://drive.google.com/file/d/sample-3882/view,
EXP-0125,2026-04-24,Books — strategy / craft,Education,Books,75.05,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-4866/view,
EXP-0126,2026-05-01,Anthropic — Claude API,Software/SaaS,AI,182.16,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-9228/view,
EXP-0127,2026-05-01,Cloudflare,Hosting,Workers + DNS,25.82,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-5293/view,
EXP-0128,2026-05-01,Hostinger,Hosting,Domain + legacy,10.46,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-1233/view,
EXP-0129,2026-05-01,Tableau Cloud,Software/SaaS,Analytics,95.24,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-7890/view,
EXP-0130,2026-05-01,Figma,Software/SaaS,Design,31.69,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-9527/view,
EXP-0131,2026-05-01,Notion,Software/SaaS,Docs,19.56,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-8535/view,
EXP-0132,2026-05-01,LinkedIn Sales Navigator,Marketing,Outbound,103.24,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-3418/view,
EXP-0133,2026-05-01,Google Workspace,Software/SaaS,Email + Drive,24.28,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-8240/view,
EXP-0134,2026-05-01,Adobe Creative Cloud,Software/SaaS,Design,59.0,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-9309/view,
EXP-0135,2026-05-01,LinkedIn Premium,Marketing,Personal brand,38.0,USD,Amex Business,Yes,No,,https://drive.google.com/file/d/sample-8191/view,
EXP-0136,2026-05-01,Ahrefs,Software/SaaS,SEO,214.0,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-7841/view,
EXP-0137,2026-05-01,GitHub,Software/SaaS,Code hosting,4.04,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-3379/view,
EXP-0138,2026-05-01,Vercel,Hosting,Preview deploys,20.31,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-8733/view,
EXP-0139,2026-05-01,Loom,Software/SaaS,Video,17.84,USD,PayPal,Yes,No,,https://drive.google.com/file/d/sample-5674/view,
EXP-0140,2026-05-01,Calendly,Software/SaaS,Scheduling,12.05,USD,Bank Transfer,Yes,No,,https://drive.google.com/file/d/sample-1652/view,
EXP-0141,2026-05-01,Starbucks — coffee meeting,Meals,Client coffee,19.39,USD,Visa Business,No,No,,https://drive.google.com/file/d/sample-1823/view,
EXP-0142,2026-05-01,Apple iCloud+,Software/SaaS,Storage,10.0,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-4279/view,
EXP-0143,2026-05-01,1Password,Software/SaaS,Security,17.2,USD,Visa Business,Yes,No,,https://drive.google.com/file/d/sample-4831/view,
